channel,cohort_month,registered,activated,week1_retained,activation_rate,retention_rate
organic,2024-01,177,47,26,26.6,55.3
paid_search,2024-01,144,26,16,18.1,61.5
paid_social,2024-01,234,31,12,13.2,38.7
partnership,2024-01,93,33,20,35.5,60.6
referral,2024-01,286,115,73,40.2,63.5
organic,2024-02,166,40,28,24.1,70.0
paid_search,2024-02,149,29,15,19.5,51.7
paid_social,2024-02,208,13,4,6.2,30.8
partnership,2024-02,84,18,13,21.4,72.2
referral,2024-02,275,102,67,37.1,65.7
organic,2024-03,193,40,23,20.7,57.5
paid_search,2024-03,144,30,17,20.8,56.7
paid_social,2024-03,210,26,11,12.4,42.3
partnership,2024-03,78,16,6,20.5,37.5
referral,2024-03,279,112,76,40.1,67.9
organic,2024-04,206,35,20,17.0,57.1
paid_search,2024-04,127,16,6,12.6,37.5
paid_social,2024-04,216,34,17,15.7,50.0
partnership,2024-04,86,22,11,25.6,50.0
referral,2024-04,271,99,70,36.5,70.7
organic,2024-05,179,40,22,22.3,55.0
paid_search,2024-05,124,23,11,18.5,47.8
paid_social,2024-05,205,25,10,12.2,40.0
partnership,2024-05,99,28,14,28.3,50.0
referral,2024-05,308,112,72,36.4,64.3
organic,2024-06,196,36,15,18.4,41.7
paid_search,2024-06,139,30,12,21.6,40.0
paid_social,2024-06,208,21,9,10.1,42.9
partnership,2024-06,95,25,12,26.3,48.0
referral,2024-06,262,84,54,32.1,64.3
organic,2024-07,210,48,21,22.9,43.8
paid_search,2024-07,142,27,12,19.0,44.4
paid_social,2024-07,233,27,11,11.6,40.7
partnership,2024-07,82,24,16,29.3,66.7
referral,2024-07,249,90,53,36.1,58.9
organic,2024-08,220,49,23,22.3,46.9
paid_search,2024-08,125,27,13,21.6,48.1
paid_social,2024-08,202,18,8,8.9,44.4
partnership,2024-08,99,25,13,25.3,52.0
referral,2024-08,285,93,64,32.6,68.8
organic,2024-09,181,34,21,18.8,61.8
paid_search,2024-09,123,23,12,18.7,52.2
paid_social,2024-09,239,34,19,14.2,55.9
partnership,2024-09,97,28,18,28.9,64.3
referral,2024-09,291,118,83,40.5,70.3
organic,2024-10,176,44,28,25.0,63.6
paid_search,2024-10,131,24,14,18.3,58.3
paid_social,2024-10,223,32,11,14.3,34.4
partnership,2024-10,89,21,11,23.6,52.4
referral,2024-10,268,102,62,38.1,60.8
organic,2024-11,176,32,18,18.2,56.2
paid_search,2024-11,136,21,15,15.4,71.4
paid_social,2024-11,224,20,10,8.9,50.0
partnership,2024-11,79,23,12,29.1,52.2
referral,2024-11,279,94,64,33.7,68.1
