feature,mean_|shap|
channel_referral,0.03919769373637161
h_fund_to_txn,0.01889037013315941
channel_paid_social,0.013338139570668582
h_reg_to_verify,0.011350582673776923
h_account_to_fund,0.007492745939652653
h_verify_to_kyc,0.006813736789353116
h_kyc_to_account,0.006602822695187533
h_total_onboarding,0.006400795382498946
kyc_turnaround_h,0.006271930858756897
first_txn_amount,0.0051603134406946706
n_pre_tickets,0.0026325009379481964
age_band_35-44,0.002263057545174514
region_Sharqia,0.0021716382487202545
region_Giza,0.0017900055388032916
kyc_speed_flag,0.00157636370186495
region_Dakahlia,0.0013730557024553352
channel_paid_search,0.0012598713375518347
device_os_iOS,0.0011620784583869597
age_band_25-34,0.00113990764069918
region_Cairo,0.0009651231761085342
channel_partnership,0.0009236641994942129
first_txn_success,0.0009042508737450319
fast_onboarding,0.000859304152940793
age_band_45-54,0.0008002657840330028
age_band_55+,0.0002370988317850653
device_os_Web,9.78460476591481e-05
kyc_approved,0.0
kyc_had_failure,0.0
